gamma,seed,transition,g_plus_events_per_10000,target_mean_abs_error,target_mean_mc_tolerance,sampled_target_population_variance,mean_conditional_sampling_variance,soft_mean_value_error_sufficient,sampled_mean_value_error_sufficient,soft_mean_bellman_residual_sufficient,sampled_mean_bellman_residual_sufficient
0.95,0,1000,490.0,0.0010426931269871265,0.02442376196452443,0.11392405149704174,0.016570004124993067,0.4700391892960028,0.443084304973139,0.19554269422138718,0.21067122300930904
0.95,0,5000,528.0,0.0003869428374361217,0.0049973380235486696,0.059371560629278654,0.0034685260168896277,0.18741508773690438,0.17815155826939888,0.1479483188624259,0.14192309673074646
0.95,0,10000,553.0,0.0003826861252856917,0.002603822900396215,0.033205809407865744,0.001883303804618822,0.09156286838996446,0.08885814346368899,0.06257463064951137,0.05848537831749342
0.95,0,25000,502.8,0.0002563210871676658,0.0013361744233670587,0.014745282665792444,0.0012398347844863136,0.03874350782819127,0.04213310204488959,0.032521972858257704,0.03604144238979971
0.95,0,50000,499.2,0.0002227681355466693,0.0008759536843550517,0.008038580180094578,0.0010656873015766524,0.028403045444120725,0.028974999833020983,0.02448404893401873,0.025775739142957884
0.95,0,100000,488.6,0.00010904103441111701,0.0006080262522847026,0.004776876600253103,0.0010269331207427247,0.05865362276663231,0.0615355708504448,0.04029632299718192,0.03750943546331284
0.95,0,200000,492.7,7.067457215692574e-05,0.00036124209735127733,0.00267956910218193,0.0007249769605486098,0.05562798300834551,0.058677375925412285,0.028748269080356,0.033942888024900454
0.95,1,1000,500.0,0.0011912277884510436,0.023053397350122254,0.1297411998423095,0.014762753593961774,0.4671389246265916,0.44959211079650485,0.16111921585331812,0.16312245905166117
0.95,1,5000,466.0,0.0002201649639053116,0.005369356155128585,0.05836452044844153,0.004004164655641282,0.21960657730293032,0.21095761204039276,0.0981563814141149,0.1065126453124895
0.95,1,10000,469.0,0.00011601917705406084,0.002852037633625603,0.0320759937647291,0.0022594774065602024,0.1748294146909663,0.16827924754483362,0.06356759077623053,0.06668163381291889
0.95,1,25000,478.8,2.409519341040056e-05,0.001333659477701688,0.014130371781388963,0.0012351719461552357,0.11398417503389038,0.11244029581329737,0.07472040348948006,0.07876073531541417
0.95,1,50000,479.0,1.6749595709408815e-05,0.0009338606842505935,0.00824234314878271,0.0012112441355402593,0.10099185699647165,0.10528159059431644,0.06307161299313421,0.07437799486424089
0.95,1,100000,479.1,5.570591668258018e-05,0.0006288179451994407,0.0048878948670885184,0.001098366689457908,0.07753140248392791,0.07824468446962492,0.044405152855663106,0.050211484623435554
0.95,1,200000,489.25000000000006,9.539175653816567e-05,0.00036828196929548343,0.00274698844385062,0.0007535089383786631,0.04601943396204603,0.04906530712982211,0.03308051537486022,0.035911182599966146
0.95,2,1000,390.0,0.003706341886842046,0.024606671421091575,0.09671838979568301,0.016819118845154583,0.5237568200620117,0.48419576845099854,0.14409675783529705,0.17573391982935183
0.95,2,5000,470.0,0.00039311525412599746,0.00655328675659012,0.06102716328491058,0.005964662126958256,0.24979107237387113,0.23396555782471523,0.09492403637074803,0.09593937214033423
0.95,2,10000,477.0,0.0004997379721922712,0.0037958385756553057,0.03486119634466601,0.004002330692342472,0.18014277448956667,0.17207766915205178,0.1053506909260869,0.10328469180343085
0.95,2,25000,482.4,0.00023726538870372238,0.0018680240477942835,0.01626060081977536,0.0024232735021789856,0.10538599745910171,0.11235373400544173,0.06172229506199492,0.060614169773104874
0.95,2,50000,493.6,0.00016644470903059982,0.001118283142699139,0.008987986279762102,0.0017368849822848097,0.09059118941198042,0.1004977619087917,0.07344564882923488,0.06915122508814484
0.95,2,100000,491.2,3.3588875008372376e-05,0.0007020688057053302,0.005209986660396539,0.001369168355401413,0.07025603040311229,0.0711929128901975,0.048921471656408054,0.06061179384585687
0.95,2,200000,495.40000000000003,1.2091195422003764e-05,0.0004071936705917705,0.003045828256570371,0.0009211482520555519,0.027222975291747865,0.034995895843085566,0.014244173195181141,0.02249350127192138
0.95,3,1000,500.0,0.0004904003167790494,0.015481458362202953,0.06489135850055325,0.006657654250572884,0.22025819884821374,0.22072723081703655,0.15811302381157635,0.1655117087049008
0.95,3,5000,478.0,0.0007634160525862299,0.005722267685391293,0.02707976284200363,0.004547826036565754,0.31494052319100585,0.3113482509628759,0.12029675832982967,0.1206638298363704
0.95,3,10000,480.99999999999994,0.00024504557364002366,0.004008158194498322,0.03314341528784784,0.004462592253367793,0.34137350998498195,0.33359480904641775,0.11101074143777949,0.12444484076292246
0.95,3,25000,475.59999999999997,7.357754830883412e-05,0.002115834178400921,0.016593153695837217,0.003108857132284374,0.21426824360128346,0.21903751737826244,0.10015529310004719,0.10215271598674598
0.95,3,50000,491.2,2.4244241414339562e-05,0.00126495152064424,0.009214471407164426,0.002222364374416909,0.13955976555002747,0.13409222636349263,0.0532008696995497,0.06471413380297604
0.95,3,100000,481.8,0.00016073318243348123,0.0007567564953564891,0.005046025459605442,0.001590778870178433,0.11297028588336828,0.11043285522923965,0.04695455574285682,0.058833395353705804
0.95,3,200000,491.45,0.00014360042218752866,0.0004286569715894599,0.0027155831913814195,0.0010208155516235945,0.077362958756514,0.07242578747416942,0.025086009948550734,0.03425344791105506
0.95,4,1000,400.0,0.0037695132885066096,0.023159326710376682,0.11866493230556574,0.014898733713276855,0.5148283439795893,0.5430676588708903,0.20160380540473316,0.1784728025079464
0.95,4,5000,454.00000000000006,0.00042499050819444495,0.004850632248255908,0.05720134633816308,0.0032678657233083555,0.22783657135740015,0.23044952308343572,0.12419676797577059,0.12416340306927173
0.95,4,10000,480.0,0.000436461102932717,0.002569685880906509,0.033507833317912836,0.0018342459795917389,0.1293439061204764,0.14002125982410538,0.05870297814492147,0.06305687815805527
