gamma,seed,transition,g_plus_events_per_10000,target_mean_abs_error,target_mean_mc_tolerance,sampled_target_variance,mean_conditional_sampling_variance,soft_mean_bellman_residual,sampled_mean_bellman_residual,soft_mean_value_error,sampled_mean_value_error
0.95,0,500,140.0,0.0006602322343388645,0.030421099957924254,0.014213426486233699,0.012853379481250267,0.004287515199431489,0.011283272993930435,0.004288066480993331,0.013167987354913258
0.95,0,1000,120.0,0.0013119175767066713,0.021290937589572144,0.012221754436506197,0.012591778428973783,0.000523204419421446,0.011799040212281129,0.0005232044200283725,0.008129322203907833
0.95,0,2500,120.0,0.0015525499644818766,0.01363578936607458,0.012189261179931571,0.012912135530274484,4.79808635501372e-06,0.008957010291222535,4.798086355055353e-06,0.006444897663305623
0.95,0,5000,124.0,0.0012385407376066943,0.009728103422614893,0.012762004199250668,0.013143888361262726,1.3635491092715373e-09,0.00729336330707413,1.3635491509049007e-09,0.019948797366570018
0.95,0,10000,142.0,0.00045689265527339845,0.006871297150337213,0.01465437195844226,0.01311520125784231,3.23815048849004e-17,0.011017089496138143,7.401486830834377e-17,0.027368542467720632
0.95,0,25000,133.6,0.0005278090609677974,0.0043720596702587124,0.01391609669980474,0.01327424011132133,2.312964634635743e-17,0.016432521786432286,6.47630097698008e-17,0.019578862955749867
0.95,0,50000,139.0,0.00033790600013864497,0.0031323302807641784,0.014522513075984164,0.013627073594155829,2.312964634635743e-17,0.015185559829873406,6.47630097698008e-17,0.018474648436518103
0.95,0,100000,147.20000000000002,0.00015763377933247086,0.0022712081016114244,0.015269503351238911,0.014328850668959364,2.312964634635743e-17,0.02374560878879538,6.47630097698008e-17,0.028885028906529563
0.95,1,500,100.0,0.00400222647459586,0.030710062900847986,0.010362839131061294,0.01309872171352833,0.004860321513767197,0.004486617396323424,0.004860667320272256,0.006233787360501012
0.95,1,1000,130.0,0.00012730046988464194,0.021551170641119465,0.013403655364991059,0.0129014710000736,0.0006677340363842772,0.04078850497502791,0.0006677340367438958,0.04461374549654743
0.95,1,2500,115.99999999999999,0.0015441768802294045,0.013573901028808984,0.012401919597917064,0.012795193690270946,6.488213296305482e-07,0.007108447061462094,6.488213296721815e-07,0.02223466389546108
0.95,1,5000,128.0,0.0007814717609420374,0.00971812418262234,0.013539982273390535,0.013116935781787385,1.4941688395812372e-10,0.015995109844623264,1.4941692559148714e-10,0.04796796492613584
0.95,1,10000,135.0,0.0001200571807154216,0.0068560197512603826,0.01410983171285688,0.013056946341575684,2.312964634635743e-17,0.008335533192831611,6.47630097698008e-17,0.03238979273157603
0.95,1,25000,134.0,0.00024396780660265738,0.004374218166043847,0.013927999304913867,0.013287350391769441,2.312964634635743e-17,0.010756870290453026,6.47630097698008e-17,0.02456426049958006
0.95,1,50000,135.4,0.0005303369819951789,0.003132605246568988,0.014044261271685869,0.013629466153932708,2.312964634635743e-17,0.011872763497695846,6.47630097698008e-17,0.026745283533408774
0.95,1,100000,146.0,0.0002639136413794402,0.00227131401660188,0.015068861566306418,0.014330187116700461,2.312964634635743e-17,0.008499268650117122,6.47630097698008e-17,0.02521396389881171
0.95,2,500,120.0,0.002078245123879531,0.03126258598511585,0.012303671020170867,0.013574295589955035,0.004173872400902491,0.022169990484725132,0.004174119117942184,0.0127743997779494
0.95,2,1000,120.0,0.001687966613152736,0.021682068162626217,0.012315912021795175,0.013058668883576926,0.0006405652634005055,0.02149136897610258,0.0006405652636672839,0.012285737516565767
0.95,2,2500,136.0,3.095240133489663e-05,0.013766234214175204,0.01449036926441594,0.01316036141941167,2.353820190442261e-06,0.011755054005941313,2.3538201904838942e-06,0.03180243642746192
0.95,2,5000,98.0,0.003852432202046896,0.009713123878855123,0.010726577961775797,0.013103441039720219,3.212979350168214e-10,0.011040672649745786,3.2129797665018483e-10,0.024181152592363222
0.95,2,10000,115.99999999999999,0.0019700214779461017,0.006886667694872869,0.012595654288103402,0.013173942205446001,3.122502256758253e-17,0.01616470614847712,7.28583859910259e-17,0.024794745722288934
0.95,2,25000,130.79999999999998,0.0005992662494653037,0.004375179509232644,0.013857608844231659,0.013293191484728607,2.312964634635743e-17,0.01094896103573999,6.47630097698008e-17,0.029370810959572103
0.95,2,50000,130.6,0.0010083343668110256,0.00312892995999165,0.013704473403342129,0.013597503742407428,2.312964634635743e-17,0.009395237939682938,6.47630097698008e-17,0.030849063854506514
0.95,2,100000,143.9,0.00042952331634898977,0.00227012176195387,0.014930587136425299,0.014315146705823732,2.312964634635743e-17,0.010572026237514983,6.47630097698008e-17,0.032092774624668884
0.95,3,500,120.0,0.0008364442075680725,0.03013958920799704,0.01205641459434863,0.012616594967039051,0.003884561899253753,0.014340919240283202,0.003885058219381719,0.01719484559864912
0.95,3,1000,140.0,0.0008628456938464743,0.02119514463795063,0.014329394507337329,0.012478726561767982,0.00044333848027336306,0.02004881792944543,0.0004433384811789974,0.01666307875094207
0.95,3,2500,112.0,0.0016407042518325338,0.013326222618040479,0.01194074099038931,0.0123325145323315,3.078730403567598e-07,0.010478620015401978,3.0787304039839314e-07,0.03040231252076421
0.95,3,5000,110.0,0.002159040764780032,0.009570953245542165,0.011783646627876633,0.01272265917060474,3.294308078642209e-10,0.008212785566700808,3.2943084949758433e-10,0.023377104073152587
0.95,3,10000,134.0,0.00016886882323155494,0.006839366104673747,0.015113257201646838,0.012993591309377817,2.312964634635743e-17,0.012582019839941177,6.47630097698008e-17,0.05860911066746157
0.95,3,25000,137.6,0.00010867758302114672,0.004373746187843313,0.015030150343028452,0.013284483135884664,2.312964634635743e-17,0.02078035094134348,6.47630097698008e-17,0.025861081353040882
0.95,3,50000,136.0,0.00046496101166939446,0.003129191152885875,0.01446720612157608,0.013599773987915596,2.312964634635743e-17,0.011058980406523472,6.47630097698008e-17,0.01897782262395891
0.95,3,100000,142.79999999999998,0.0005050550557609904,0.002271397775010449,0.014992783912659255,0.014331244034228939,2.312964634635743e-17,0.010247176792628059,6.47630097698008e-17,0.033083518050926984
0.95,4,500,140.0,0.0015945131764416101,0.029516703693328216,0.01431155776552115,0.012100497179440771,0.002569500846986658,0.013681855279500508,0.0025702646854782268,0.014499300897352333
0.95,4,1000,150.0,0.0024604480747994276,0.02111672119221795,0.015031314119071137,0.012386553164162968,0.0004083323980346547,0.011844303455737221,0.00040833239941855,0.016246398969443916
0.95,4,2500,188.0,0.005252481330268226,0.013705158802934863,0.0188768768962855,0.013043845681504376,2.406051010625058e-06,0.04099602867422616,2.4060510106666913e-06,0.06408188243814374
0.95,4,5000,168.0,0.0032215438942106295,0.009700214324271992,0.017186539056243826,0.013068633046779379,2.7148924659307444e-10,0.007308563376601608,2.7148928822643786e-10,0.02587511407082452
0.95,4,10000,145.0,0.0008945018088272472,0.00687043584350378,0.015197200942495138,0.013111913522139303,2.312964634635743e-17,0.026338029163119697,6.47630097698008e-17,0.04418347028957301
0.95,4,25000,129.2,0.0009640925542320003,0.004376139971499404,0.013566965995581975,0.013299028507051948,2.312964634635743e-17,0.0079319144610444,6.47630097698008e-17,0.018334555514262694
0.95,4,50000,136.6,0.00045438565098911837,0.003130927401508023,0.014319495680733835,0.01361486999099136,2.312964634635743e-17,0.012361070279646358,6.47630097698008e-17,0.0292811388975034
0.95,4,100000,140.3,0.000782754743447335,0.0022697756312913104,0.014617528224983908,0.014310781712232965,2.312964634635743e-17,0.013604427161851283,6.47630097698008e-17,0.031596652744586645
0.95,5,500,100.0,0.0032724971010680212,0.030466345761801766,0.010190123221776506,0.01289164200107856,0.0030863890162259495,0.013221814945560177,0.0030869570793632603,0.018334197141718814
0.95,5,1000,90.0,0.004731454282893809,0.021857400014479552,0.009323577471911211,0.013270720427582521,0.00046329053511397905,0.024232282192746837,0.00046329053545858767,0.013712761433356929
0.95,5,2500,95.99999999999999,0.00427842844410288,0.013712359793514664,0.009902815987088491,0.01305755632686094,2.5728341511548534e-06,0.002217919705713365,2.5728341511964867e-06,0.003138039275341259
0.95,5,5000,112.0,0.0023736998514160765,0.0096699265309331,0.012024837633055849,0.012987149876894978,6.539556199799031e-10,0.010907669581171911,6.539556616132666e-10,0.03321824439285318
0.95,5,10000,115.99999999999999,0.002101357969242823,0.006846524764346293,0.012214613168100756,0.013020805930224187,2.6599093298311043e-17,0.03726299733481974,6.823245672175442e-17,0.03348665811456466
0.95,5,25000,136.4,0.00014894279250889098,0.004376078294505694,0.014379220347336987,0.013298653638641569,2.312964634635743e-17,0.008781014364786491,6.47630097698008e-17,0.029329057576682097
0.95,5,50000,144.6,0.00034072583280832236,0.0031385033513013257,0.015209397629805778,0.013680837897402294,2.312964634635743e-17,0.006227877444602036,6.47630097698008e-17,0.02815570253408654
