gamma,seed,g_plus_events_per_10000,target_mean_abs_error,target_mean_mc_tolerance,target_mean_within_mc_tolerance,mean_conditional_sampling_variance,soft_mean_bellman_residual,sampled_mean_bellman_residual,soft_mean_value_error,sampled_mean_value_error,soft_policy_disagreement,sampled_policy_disagreement,soft_success_rate,sampled_success_rate
0.95,0,147.20000000000002,0.00015763377933247086,0.0022712081016114244,True,0.014328850668959364,2.312964634635743e-17,0.02374560878879538,6.47630097698008e-17,0.028885028906529563,0.0,0.6666666666666666,1.0,0.0
0.95,1,146.0,0.0002639136413794402,0.00227131401660188,True,0.014330187116700461,2.312964634635743e-17,0.008499268650117122,6.47630097698008e-17,0.02521396389881171,0.0,0.6666666666666666,1.0,0.0
0.95,2,143.9,0.00042952331634898977,0.00227012176195387,True,0.014315146705823732,2.312964634635743e-17,0.010572026237514983,6.47630097698008e-17,0.032092774624668884,0.0,0.6666666666666666,1.0,0.0
0.95,3,142.79999999999998,0.0005050550557609904,0.002271397775010449,True,0.014331244034228939,2.312964634635743e-17,0.010247176792628059,6.47630097698008e-17,0.033083518050926984,0.0,0.6666666666666666,1.0,0.0
0.95,4,140.3,0.000782754743447335,0.0022697756312913104,True,0.014310781712232965,2.312964634635743e-17,0.013604427161851283,6.47630097698008e-17,0.031596652744586645,0.0,0.6666666666666666,1.0,0.0
0.95,5,150.9,0.00025955556318701944,0.0022743496285268882,True,0.014368517313278876,2.312964634635743e-17,0.013887555049431748,6.47630097698008e-17,0.03439526199629793,0.0,0.6666666666666666,1.0,0.0
0.95,6,145.29999999999998,0.0002767553458394509,0.002271446446740129,True,0.014331858223356551,2.312964634635743e-17,0.020534955034854852,6.47630097698008e-17,0.029973085979578495,0.0,0.6666666666666666,1.0,0.0
0.95,7,143.2,0.0005610825817598183,0.0022712949292234804,True,0.014329946265323043,2.312964634635743e-17,0.010460946272100152,6.47630097698008e-17,0.022648905178292822,0.0,0.3333333333333333,1.0,0.0
0.95,8,151.2,0.00026641339788306684,0.0022725487868151244,True,0.014345772190152485,2.312964634635743e-17,0.014375085726070111,6.47630097698008e-17,0.034862812421303124,0.0,0.3333333333333333,1.0,0.0
0.95,9,144.1,0.0004194016113699406,0.002270454860124193,True,0.01431934797739325,2.312964634635743e-17,0.003295724781830002,6.47630097698008e-17,0.015722692447564898,0.0,0.3333333333333333,1.0,0.0
0.99,0,30.400000000000002,4.98831585023507e-05,0.0010318654773523476,True,0.002957628787087745,6.649773324577761e-18,0.002458280758792342,1.7636355339097538e-17,0.02757113114989786,0.0,0.3333333333333333,1.0,0.0
0.99,1,30.799999999999997,8.322683621119278e-05,0.0010327597489986392,True,0.0029627574976437004,6.649773324577761e-18,0.0024015389466163226,1.7636355339097538e-17,0.022796566163893302,0.0,0.3333333333333333,1.0,0.0
0.99,2,31.7,0.00018916653943062967,0.0010318374759701594,True,0.0029574682689346367,6.649773324577761e-18,0.0019924999503593446,1.7636355339097538e-17,0.024084016818922496,0.0,0.3333333333333333,1.0,0.0
0.99,3,32.5,0.0002561391275655821,0.0010318517606066292,True,0.0029575501551861124,6.649773324577761e-18,0.002379577233769741,1.7636355339097538e-17,0.02634650772480271,0.0,0.3333333333333333,1.0,0.0
0.99,4,33.9,0.0003956973444908876,0.001033486981950011,True,0.002966931505167062,6.649773324577761e-18,0.002996292921707576,1.7636355339097538e-17,0.03027778838092399,0.0,0.3333333333333333,1.0,0.0
0.99,5,27.8,0.00019194486014339346,0.0010324271808381602,True,0.0029608496770373084,6.649773324577761e-18,0.003052474001422881,1.7636355339097538e-17,0.029637925101171695,0.0,0.6666666666666666,1.0,0.0
0.99,6,30.400000000000002,5.980274150350906e-05,0.0010331926279458302,True,0.00296524168456003,6.649773324577761e-18,0.007475468215407175,1.7636355339097538e-17,0.03709249935069637,0.0,0.6666666666666666,1.0,0.0
0.99,7,28.1,0.00015654388213645967,0.001031539803859451,True,0.002955762130406651,6.649773324577761e-18,0.0022079705492016543,1.7636355339097538e-17,0.03327032297587535,0.0,0.3333333333333333,1.0,0.0
0.99,8,30.9,0.00012761745031333524,0.0010319963635308492,True,0.0029583791509469348,6.649773324577761e-18,0.0031106585132124943,1.7636355339097538e-17,0.030179117198874797,0.0,0.6666666666666666,1.0,0.0
0.99,9,32.0,0.0002104429006880154,0.0010320502178741673,True,0.0029586879228169893,6.649773324577761e-18,0.00252166089936747,1.7636355339097538e-17,0.02885266756032968,0.0,0.3333333333333333,1.0,0.0
0.995,0,16.8,0.00018365966556379426,0.0007302760697888056,True,0.0014813976058505125,3.1803263726241462e-18,0.0015778644649833556,9.107298248878237e-18,0.02494805810790322,0.0,1.0,1.0,0.0
0.995,1,15.0,1.4359701388286239e-05,0.0007313367617590567,True,0.0014857040530561758,3.1803263726241462e-18,0.0009697261868349339,9.107298248878237e-18,0.02878520406746969,0.0,0.5,1.0,0.0
0.995,2,15.100000000000001,3.2993430643914884e-05,0.0007299365001429504,True,0.0014800202617803874,3.1803263726241462e-18,0.000954471633572808,9.107298248878237e-18,0.025973763039730785,0.0,1.0,1.0,0.0
0.995,3,13.7,0.00012301787761789112,0.0007322363558115591,True,0.0014893613354783114,3.1803263726241462e-18,0.005870510328403603,9.107298248878237e-18,0.035733820961393166,0.0,0.6666666666666666,1.0,0.0
