cell_id,true_risky_success_prob,safe_length,risky_samples,observed_successes,observed_failures,observed_success_rate,classification,tags,method,exact_optimal_action,estimated_action,policy_regret,q_risky_true,q_safe_true,q_risky_estimate,risky_value_overestimation,risky_value_underestimation,calibration_error,matches_exact_action,empirical_identifiable,prior_dependent
cell_0001,0.1,2,4,0,4,0.0,no_success,no_success;matched;identifiable,raw_trl,safe,safe,0.0,0.09000000000000001,0.81,0.0,0.0,0.09000000000000001,0.09000000000000001,True,True,False
cell_0001,0.1,2,4,0,4,0.0,no_success,no_success;matched;identifiable,trl_log,safe,safe,0.0,0.09000000000000001,0.81,0.0,0.0,0.09000000000000001,0.09000000000000001,True,True,False
cell_0001,0.1,2,4,0,4,0.0,no_success,no_success;matched;identifiable,empirical_transition_dp,safe,safe,0.0,0.09000000000000001,0.81,0.0,0.0,0.09000000000000001,0.09000000000000001,True,True,False
cell_0001,0.1,2,4,0,4,0.0,no_success,no_success;matched;identifiable,empirical_risky_value,safe,safe,0.0,0.09000000000000001,0.81,0.0,0.0,0.09000000000000001,0.09000000000000001,True,True,False
cell_0001,0.1,2,4,0,4,0.0,no_success,no_success;matched;identifiable,posterior_mean_beta_1_1,safe,safe,0.0,0.09000000000000001,0.81,0.15,0.059999999999999984,0.0,0.059999999999999984,True,True,False
cell_0001,0.1,2,4,0,4,0.0,no_success,no_success;matched;identifiable,posterior_lower_q10_beta_1_1,safe,safe,0.0,0.09000000000000001,0.81,0.0189,0.0,0.07110000000000001,0.07110000000000001,True,True,False
cell_0001,0.1,2,4,0,4,0.0,no_success,no_success;matched;identifiable,posterior_upper_q90_beta_1_1,safe,safe,0.0,0.09000000000000001,0.81,0.3321,0.24209999999999998,0.0,0.24209999999999998,True,True,False
cell_0001,0.1,2,4,0,4,0.0,no_success,no_success;matched;identifiable,hoeffding_lcb_delta_0_2,safe,safe,0.0,0.09000000000000001,0.81,0.0,0.0,0.09000000000000001,0.09000000000000001,True,True,False
cell_0001,0.1,2,4,0,4,0.0,no_success,no_success;matched;identifiable,hoeffding_ucb_delta_0_2,safe,safe,0.0,0.09000000000000001,0.81,0.4828423559151031,0.3928423559151031,0.0,0.3928423559151031,True,True,False
cell_0002,0.1,2,4,1,3,0.25,matched_identifiable,matched;identifiable,raw_trl,safe,risky,0.7200000000000001,0.09000000000000001,0.81,0.9,0.81,0.0,0.81,False,True,False
cell_0002,0.1,2,4,1,3,0.25,matched_identifiable,matched;identifiable,trl_log,safe,safe,0.0,0.09000000000000001,0.81,0.225,0.135,0.0,0.135,True,True,False
cell_0002,0.1,2,4,1,3,0.25,matched_identifiable,matched;identifiable,empirical_transition_dp,safe,safe,0.0,0.09000000000000001,0.81,0.225,0.135,0.0,0.135,True,True,False
cell_0002,0.1,2,4,1,3,0.25,matched_identifiable,matched;identifiable,empirical_risky_value,safe,safe,0.0,0.09000000000000001,0.81,0.225,0.135,0.0,0.135,True,True,False
cell_0002,0.1,2,4,1,3,0.25,matched_identifiable,matched;identifiable,posterior_mean_beta_1_1,safe,safe,0.0,0.09000000000000001,0.81,0.3,0.20999999999999996,0.0,0.20999999999999996,True,True,False
cell_0002,0.1,2,4,1,3,0.25,matched_identifiable,matched;identifiable,posterior_lower_q10_beta_1_1,safe,safe,0.0,0.09000000000000001,0.81,0.101025,0.011024999999999993,0.0,0.011024999999999993,True,True,False
cell_0002,0.1,2,4,1,3,0.25,matched_identifiable,matched;identifiable,posterior_upper_q90_beta_1_1,safe,safe,0.0,0.09000000000000001,0.81,0.5256,0.43559999999999993,0.0,0.43559999999999993,True,True,False
cell_0002,0.1,2,4,1,3,0.25,matched_identifiable,matched;identifiable,hoeffding_lcb_delta_0_2,safe,safe,0.0,0.09000000000000001,0.81,0.0,0.0,0.09000000000000001,0.09000000000000001,True,True,False
cell_0002,0.1,2,4,1,3,0.25,matched_identifiable,matched;identifiable,hoeffding_ucb_delta_0_2,safe,safe,0.0,0.09000000000000001,0.81,0.7078423559151031,0.6178423559151032,0.0,0.6178423559151032,True,True,False
cell_0003,0.1,2,4,2,2,0.5,ambiguous,ambiguous,raw_trl,safe,risky,0.7200000000000001,0.09000000000000001,0.81,0.9,0.81,0.0,0.81,False,False,False
cell_0003,0.1,2,4,2,2,0.5,ambiguous,ambiguous,trl_log,safe,safe,0.0,0.09000000000000001,0.81,0.45,0.36,0.0,0.36,True,False,False
cell_0003,0.1,2,4,2,2,0.5,ambiguous,ambiguous,empirical_transition_dp,safe,safe,0.0,0.09000000000000001,0.81,0.45,0.36,0.0,0.36,True,False,False
cell_0003,0.1,2,4,2,2,0.5,ambiguous,ambiguous,empirical_risky_value,safe,safe,0.0,0.09000000000000001,0.81,0.45,0.36,0.0,0.36,True,False,False
cell_0003,0.1,2,4,2,2,0.5,ambiguous,ambiguous,posterior_mean_beta_1_1,safe,safe,0.0,0.09000000000000001,0.81,0.45,0.36,0.0,0.36,True,False,False
cell_0003,0.1,2,4,2,2,0.5,ambiguous,ambiguous,posterior_lower_q10_beta_1_1,safe,safe,0.0,0.09000000000000001,0.81,0.222075,0.132075,0.0,0.132075,True,False,False
cell_0003,0.1,2,4,2,2,0.5,ambiguous,ambiguous,posterior_upper_q90_beta_1_1,safe,safe,0.0,0.09000000000000001,0.81,0.677925,0.587925,0.0,0.587925,True,False,False
